# Generated by https://github.com/badele/world-datas-analysis
# Version: 1.0
# Query: SELECT category, description, first_year, last_year, printf("%.5f", first_value) as first_value, printf("%.5f", last_value) as last_value, printf("%.5f", growth_percent) as growth_percent FROM v_worldbank_country_summary WHERE CountryCode='FRA';
# Source: https://data.worldbank.org/
# columns: [[0, 34], [35, 179], [180, 191], [192, 202], [203, 222], [223, 242], [243, 258]]

# category=Agriculture et développement rural
                          category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent

# category=Efficacité de l’aide
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
              Efficacité de l’aide                                                                           Ratio filles/garçons des inscriptions au primaire et au secondaire (%)        1971       2018             1.03422             1.00052       -3.25849
              Efficacité de l’aide                                                                       Taux d’achèvement de l’école primaire, total (% du groupe d’âge pertinent)        1971       2000            93.21495            92.93037       -0.30530
              Efficacité de l’aide                                                                                         Taux de mortalité infantile, moins de 5 ans (pour 1 000)        1960       2019            28.50000             4.50000      -84.21053
              Efficacité de l’aide                                                                                                Femmes enceintes recevant des soins prénataux (%)        1993       2004            99.00000            99.80000        0.80808
              Efficacité de l’aide                                                                Ratio de décès maternel (estimation par modèle, pour 100 000 naissances vivantes)        2000       2017            10.00000             8.00000      -20.00000
              Efficacité de l’aide                                                                                             Incidence de la tuberculose (pour 100 000 personnes)        2000       2019            13.00000             8.70000      -33.07692
              Efficacité de l’aide                                                                                                Part des revenus détenus par les 20% moins élevés        1978       2018             7.00000             8.00000       14.28571
              Efficacité de l’aide                                              Ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 PPA) (% de la population)        1978       2018             1.00000             0.00000     -100.00000
              Efficacité de l’aide                                                                                                                                  Migration nette        1962       2017       1417869.00000        182636.00000      -87.11898


# category=Environnement
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                     Environnement                                                                                                               Terres agricoles (% du territoire)        1961       2018            63.07733            52.34177      -17.01968
                     Environnement                                                                                                                 Terres arables (% du territoire)        1961       2018            35.80573            33.10413       -7.54515
                     Environnement                                        Superficie des terres dont l’altitude est inférieure à 5 mètres (en % de la superficie totale des terres)        1990       2010             1.64737             1.64737        0.00000
                     Environnement                                                                                                                   Surface forestière (km carrés)        1990       2020        144360.00000        172530.00000       19.51372
                     Environnement                                                                                                             Surface forestière (% du territoire)        1990       2020            26.36395            31.50905       19.51568
                     Environnement                                                                                                                           Territoire (km carrés)        1961       2020        547566.00000        547557.00000       -0.00164
                     Environnement                                                                                                                   Superficie (kilomètres carrés)        1961       2018        549086.00000        549087.00000        0.00018
                     Environnement                                                                                               Intensité énergétique (MJ/PIB en USD, PPA de 2011)        1990       2015             5.44753             4.10185      -24.70254
                     Environnement                                                                                                       Accès à l’électricité (% de la population)        1990       2019           100.00000           100.00000        0.00000
                     Environnement                                                                  Production d’électricité renouvelable (% de la production totale d’électricité)        1990       2015            13.36988            15.85767       18.60741
                     Environnement                                                                    Consommation d’énergies renouvelables (% de la consommation totale d’énergie)        1990       2018            10.40802            15.25260       46.54661
                     Environnement                                                                                                                            Émissions de CO2 (kt)        1960       2018        271218.65400        309960.00000       14.28417
                     Environnement                                                                                                 Émissions de CO2 (tonnes métriques par habitant)        1960       2018             5.81744             4.61924      -20.59660
                     Environnement                                                                                                   Émissions totales de GES (kt d’équivalent CO2)        1970       2018        614501.57000        423350.00000      -31.10677
                     Environnement                                                                                                       Émissions de méthane (kt d’équivalent CO2)        1970       2018         82882.30000         58340.00000      -29.61103
                     Environnement                                                                        Émissions d’oxyde nitreux (milliers de tonnes métriques d’équivalent CO2)        1970       2018         64736.37000         38030.00000      -41.25404
                     Environnement                                  Pollution atmosphérique aux particules fines (PM2,5), exposition annuelle moyenne (microgrammes par mètre cube)        1990       2017            15.84967            11.81496      -25.45608
                     Environnement Pollution atmosphérique aux particules fines (PM2,5), population exposée à des niveaux supérieurs à la valeur de référence de l’OMS (% du total)        1990       2017            99.77445            78.21356      -21.60963
                     Environnement                                                                                                                      Espèces d’oiseaux, menacées        2018       2018            16.00000            16.00000        0.00000
                     Environnement                                                                                                                     Espèces de poissons menacées        2018       2018            53.00000            53.00000        0.00000
                     Environnement                                                                                                              Espèces végétales (à haut) menacées        2018       2018            47.00000            47.00000        0.00000
                     Environnement                                                                                                                      Espèces mammifères menacées        2018       2018             9.00000             9.00000        0.00000
                     Environnement                                        Population vivant sur des terres dont l’altitude est inférieure à 5 mètres (en % de la population totale)        1990       2010             2.85227             2.89216        1.39836
                     Environnement                                                                                  Retraits annuels d’eau douce, total (milliards de mètres cubes)        1982       2017            32.53160            26.43600      -18.73747
                     Environnement                                                                                  Retraits annuels d’eau douce, total (% des ressources internes)        1982       2017            16.26580            13.21800      -18.73747
                     Environnement                                                              Ressources renouvelables d’eau douce intérieures, total (milliards de mètres cubes)        1962       2017           200.00000           200.00000        0.00000
                     Environnement                                                                     Ressources renouvelables d’eau douce intérieures par habitant (mètres cubes)        1962       2017          4174.94009          2988.73159      -28.41259
                     Environnement                                                                                    Zones terrestres et marines protégées (% du territoire total)        2016       2018            26.08072            33.20750       27.32586
                     Environnement                                               Épargne nette rajustée, en incluant les dommages causés par les émissions de particules (% du RNB)        1990       2019            11.59660             9.16180      -20.99575
                     Environnement                                                                                   Total des bénéfices tirés des ressources naturelles (% du PIB)        1970       2019             0.15698             0.03515      -77.61031


# category=Genre et parité hommes-femmes
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
     Genre et parité hommes-femmes                                                                                            Ratio filles/garçons des inscriptions au primaire (%)        1971       2018             0.99329             0.99458        0.12987
     Genre et parité hommes-femmes                                                                           Ratio filles/garçons des inscriptions au primaire et au secondaire (%)        1971       2018             1.03422             1.00052       -3.25849
     Genre et parité hommes-femmes                                                                      Taux d’achèvement de l’école primaire, filles (% du groupe d’âge pertinent)        1971       1972            95.32172            94.77932       -0.56902
     Genre et parité hommes-femmes                                                                     Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)        1971       1972            91.18639            90.41227       -0.84895
     Genre et parité hommes-femmes                                                                              Taux d’inscription brut au CP, filles (% du groupe d’âge pertinent)        1971       1972           104.80119           103.11563       -1.60834
     Genre et parité hommes-femmes                                                                             Taux d’inscription brut au CP, garçons (% du groupe d’âge pertinent)        1971       1972           104.68590           103.01955       -1.59176
     Genre et parité hommes-femmes                                                                     Poursuite des études jusqu’à la fin du cycle primaire, filles (% de cohorte)        1971       1971            89.06148            89.06148        0.00000
     Genre et parité hommes-femmes                                                                    Poursuite des études jusqu’à la fin du cycle primaire, garçons (% de cohorte)        1971       1971            84.83317            84.83317        0.00000
     Genre et parité hommes-femmes                                                                                     Redoublants, primaire, filles (% des inscriptions de filles)        1971       1972            12.03329            11.08120       -7.91213
     Genre et parité hommes-femmes                                                                                   Redoublants, primaire, garçons (% des inscriptions de garçons)        1971       1972            14.27809            13.30692       -6.80182
     Genre et parité hommes-femmes                                                                                                  Enfants n’allant pas à l’école primaire, filles        1971       2016         45850.00000           523.00000      -98.85932
     Genre et parité hommes-femmes                                                                                                 Enfants n’allant pas à l’école primaire, garçons        1971       2016         66783.00000          6482.00000      -90.29394
     Genre et parité hommes-femmes                                                                    Proportion de sièges occupés par des femmes dans les parlements nationaux (%)        1997       2020            10.91854            39.51473      261.90476
     Genre et parité hommes-femmes                                                             Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)        2010       2010            15.77314            15.77314        0.00000
     Genre et parité hommes-femmes                                                               Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)        2010       2010             9.49464             9.49464        0.00000
     Genre et parité hommes-femmes                                                                                                Femmes enceintes recevant des soins prénataux (%)        1993       2004            99.00000            99.80000        0.80808
     Genre et parité hommes-femmes                                                                             Naissances assistées par du personnel de santé qualifié (% du total)        1993       2018            99.00000            98.10000       -0.90909
     Genre et parité hommes-femmes                                                                Ratio de décès maternel (estimation par modèle, pour 100 000 naissances vivantes)        2000       2017            10.00000             8.00000      -20.00000
     Genre et parité hommes-femmes                                                                                           Employées, agriculture, femmes (% d’emploi des femmes)        1991       2019             4.95000             1.49000      -69.89899
     Genre et parité hommes-femmes                                                                                            Employés, agriculture, hommes (% d’emploi des hommes)        1991       2019             6.83000             3.50000      -48.75549
     Genre et parité hommes-femmes                                                                                      Emplois vulnérables, femmes (% des emplois chez les femmes)        1991       2019            10.27000             6.53000      -36.41675
     Genre et parité hommes-femmes                                                                                      Emplois vulnérables, hommes (% des emplois chez les hommes)        1991       2019            10.66000             9.13000      -14.35272
     Genre et parité hommes-femmes                                                                            Travailleurs salariés, femmes (% de la population féminine en emploi)        1991       2019            87.50000            91.27000        4.30857
     Genre et parité hommes-femmes                                                                           Travailleurs salariés, hommes (% de la population masculine en emploi)        1991       2019            82.70000            84.72000        2.44257
     Genre et parité hommes-femmes                                                                                           Travailleurs familiaux, femmes (% de l’emploi féminin)        1991       2019             5.04000             0.45000      -91.07143
     Genre et parité hommes-femmes                                                                                          Travailleurs familiaux, hommes (% de l’emploi masculin)        1991       2019             0.90000             0.14000      -84.44444
     Genre et parité hommes-femmes                                                                                             Employées, industrie, femmes (% d’emploi des femmes)        1991       2019            15.98000             9.54000      -40.30037
     Genre et parité hommes-femmes                                                                                              Employés, industrie, hommes (% d’emploi des hommes)        1991       2019            37.58000            30.52000      -18.78659
     Genre et parité hommes-femmes                                                                                              Employées, services, femmes (% d’emploi des femmes)        1991       2019            79.08000            88.97000       12.50632
     Genre et parité hommes-femmes                                                                                               Employés, services, hommes (% d’emploi des hommes)        1991       2019            55.59000            65.98000       18.69042
     Genre et parité hommes-femmes             Taux de participation à la population active, femmes (% de la population féminine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            46.28000            50.65000        9.44252
     Genre et parité hommes-femmes            Taux de participation à la population active, hommes (% de la population masculine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            65.50000            59.68000       -8.88550
     Genre et parité hommes-femmes                                                                                            Population active, femmes (% de la population active)        1990       2019            43.31538            48.08575       11.01311
     Genre et parité hommes-femmes                                            Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation modélisée OIT)        1991       2019            22.60000            18.11000      -19.86726
     Genre et parité hommes-femmes                                           Chômage, jeunes hommes (% de la population active masculine de 15 à 24 ans) (estimation modélisée OIT)        1991       2019            16.71000            20.72000       23.99761
     Genre et parité hommes-femmes                                                                  Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)        1991       2019            11.64000             8.38000      -28.00687
     Genre et parité hommes-femmes                                                                 Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)        1991       2019             7.18000             8.50000       18.38440
     Genre et parité hommes-femmes                                               Taux de fertilité chez les adolescents (nombre de naissance par 1 000 femmes âgées de 15 à 19 ans)        1960       2019            24.91700             4.74540      -80.95517
     Genre et parité hommes-femmes                                                                               Prévalence de la contraception (% des femmes âgées de 15 à 49 ans)        1971       2011            64.00000            78.40000       22.50000
     Genre et parité hommes-femmes                                                                                                 Espérance de vie à la naissance, femmes (années)        1960       2019            73.30000            85.60000       16.78035
     Genre et parité hommes-femmes                                                                                                 Espérance de vie à la naissance, hommes (années)        1960       2019            66.60000            79.70000       19.66967
     Genre et parité hommes-femmes                                                                                                  Taux de fertilité, total (naissances par femme)        1960       2019             2.85000             1.87000      -34.38596


# category=Infrastructures
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                   Infrastructures                                                                                                    Consommation d’électricité (KWh par habitant)        1960       2014          1462.70980          6939.94352      374.45799
                   Infrastructures                                                                                  Retraits annuels d’eau douce, total (milliards de mètres cubes)        1982       2017            32.53160            26.43600      -18.73747
                   Infrastructures                                                                                  Retraits annuels d’eau douce, total (% des ressources internes)        1982       2017            16.26580            13.21800      -18.73747
                   Infrastructures                                                              Ressources renouvelables d’eau douce intérieures, total (milliards de mètres cubes)        1962       2017           200.00000           200.00000        0.00000
                   Infrastructures                                                                     Ressources renouvelables d’eau douce intérieures par habitant (mètres cubes)        1962       2017          4174.94009          2988.73159      -28.41259
                   Infrastructures                                                                     Transport aérien, départs des transporteurs autorisés à destination du monde        1970       2019        215400.00000        598374.00000      177.79666
                   Infrastructures                                                                                                   Lignes de chemin de fer (routes totales en km)        1995       2018         31997.00000         28241.00000      -11.73860
                   Infrastructures                                                                          Trafic de conteneurs dans les ports (TEU : unités équivalents 20 pieds)        2000       2019       2923190.00000       5871100.00000      100.84565
                   Infrastructures                                                                                          Abonnements à la téléphonie mobile (pour 100 habitants)        1960       2020             0.00000           111.45563        0.00000
                   Infrastructures                                                                                            Abonnements à la téléphonie fixe (pour 100 habitants)        1960       2020             4.80307            57.84736     1104.38413
                   Infrastructures                                                                  Abonnements aux services d’accès haut débit sur ligne fixe (pour 100 habitants)        1998       2020             0.02304            46.92102   203573.78492
                   Infrastructures                                                                                        Serveurs Internet sécurisés (pour 1 million de personnes)        2010       2020           278.05157         36220.10239    12926.39726


# category=Main-d’œuvre et protection sociale
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
Main-d’œuvre et protection sociale                                                                                           Employées, agriculture, femmes (% d’emploi des femmes)        1991       2019             4.95000             1.49000      -69.89899
Main-d’œuvre et protection sociale                                                                                            Employés, agriculture, hommes (% d’emploi des hommes)        1991       2019             6.83000             3.50000      -48.75549
Main-d’œuvre et protection sociale                                                 Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)        1991       2020            50.03000            49.46000       -1.13932
Main-d’œuvre et protection sociale                                                                                      Emplois vulnérables, femmes (% des emplois chez les femmes)        1991       2019            10.27000             6.53000      -36.41675
Main-d’œuvre et protection sociale                                                                                      Emplois vulnérables, hommes (% des emplois chez les hommes)        1991       2019            10.66000             9.13000      -14.35272
Main-d’œuvre et protection sociale                                                                            Travailleurs salariés, femmes (% de la population féminine en emploi)        1991       2019            87.50000            91.27000        4.30857
Main-d’œuvre et protection sociale                                                                           Travailleurs salariés, hommes (% de la population masculine en emploi)        1991       2019            82.70000            84.72000        2.44257
Main-d’œuvre et protection sociale                                                                                           Travailleurs familiaux, femmes (% de l’emploi féminin)        1991       2019             5.04000             0.45000      -91.07143
Main-d’œuvre et protection sociale                                                                                          Travailleurs familiaux, hommes (% de l’emploi masculin)        1991       2019             0.90000             0.14000      -84.44444
Main-d’œuvre et protection sociale                                                                                        PIB par personne employée (dollars PPA constants de 2011)        1991       2020         84577.38671        103184.78470       22.00044
Main-d’œuvre et protection sociale                                                                                             Employées, industrie, femmes (% d’emploi des femmes)        1991       2019            15.98000             9.54000      -40.30037
Main-d’œuvre et protection sociale                                                                                              Employés, industrie, hommes (% d’emploi des hommes)        1991       2019            37.58000            30.52000      -18.78659
Main-d’œuvre et protection sociale                                                                                              Employées, services, femmes (% d’emploi des femmes)        1991       2019            79.08000            88.97000       12.50632
Main-d’œuvre et protection sociale                                                                                               Employés, services, hommes (% d’emploi des hommes)        1991       2019            55.59000            65.98000       18.69042
Main-d’œuvre et protection sociale             Taux de participation à la population active, femmes (% de la population féminine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            46.28000            50.65000        9.44252
Main-d’œuvre et protection sociale            Taux de participation à la population active, hommes (% de la population masculine âgée de 15 ans et plus) (estimation modélisée OIT)        1990       2019            65.50000            59.68000       -8.88550
Main-d’œuvre et protection sociale                                                                                            Population active, femmes (% de la population active)        1990       2019            43.31538            48.08575       11.01311
Main-d’œuvre et protection sociale                                                                                                                         Population active, total        1990       2020      25839723.00000      30033626.00000       16.23045
Main-d’œuvre et protection sociale                                            Chômage, jeunes femmes (% de la population active féminine de 15 à 24 ans) (estimation modélisée OIT)        1991       2019            22.60000            18.11000      -19.86726
Main-d’œuvre et protection sociale                                           Chômage, jeunes hommes (% de la population active masculine de 15 à 24 ans) (estimation modélisée OIT)        1991       2019            16.71000            20.72000       23.99761
Main-d’œuvre et protection sociale                                                                  Chômage, femmes (% de la population active féminine) (estimation modélisée OIT)        1991       2019            11.64000             8.38000      -28.00687
Main-d’œuvre et protection sociale                                                                 Chômage, hommes (% de la population active masculine) (estimation modélisée OIT)        1991       2019             7.18000             8.50000       18.38440
Main-d’œuvre et protection sociale                                                                                   Chômage, total (% de la population) (estimation modélisée OIT)        1991       2020             9.13000             8.62000       -5.58598


# category=Pauvreté
#                         category                                                                                                                                      description  first_year  last_year         first_value          last_value growth_percent
                          Pauvreté                                                                                        Part des revenus détenus par le deuxième quartile de 20 %        1978       2018            12.00000            12.90000        7.50000
                          Pauvreté                                                                                       Part des revenus détenus par le troisième quartile de 20 %        1978       2018            16.30000            16.70000        2.45399
                          Pauvreté                                                                                       Part des revenus détenus par le quatrième quartile de 20 %        1978       2018            22.40000            21.60000       -3.57143
                          Pauvreté                                                                                                 Part des revenus détenus par les 20% plus élevés        1978       2018            42.30000            40.80000       -3.54610
                          Pauvreté                                                                                                 Part des revenus détenus par les 10% plus élevés        1978       2018            27.10000            26.70000       -1.47601
                          Pauvreté                                                                                                Part des revenus détenus par les 10% moins élevés        1978       2018             2.50000             3.20000       28.00000
                          Pauvreté                                                                                                Part des revenus détenus par les 20% moins élevés        1978       2018             7.00000             8.00000       14.28571
                          Pauvreté                                              Ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 PPA) (% de la population)        1978       2018             1.00000             0.00000     -100.00000
                          Pauvreté                                                                                                        Pauvreté à $ 1,90 par jour (2011 PPA) (%)        1978       2018             0.60000             0.00000     -100.00000
